中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.236.101,443,198.23.236.101,US,San Jose,中转,57 ms,724 Mbps,92774 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,148 ms,336 Mbps,43110 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,172 ms,70 Mbps,8983 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,150 ms,39 Mbps,5071 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,346 Mbps,44339 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,184 Mbps,23552 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,169 ms,76 Mbps,9845 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:9c,US,Los Angeles,隧道,18 ms,59 Mbps,7574 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1744 Mbps,223232 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,30 ms,1592 Mbps,203776 kB/s
35.197.23.75,443,34.82.144.89,US,Seattle,隧道,51 ms,800 Mbps,102400 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,22 ms,516 Mbps,66150 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,35 ms,1312 Mbps,167936 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,36 ms,1664 Mbps,212992 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,53 ms,1520 Mbps,194560 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,34 ms,690 Mbps,88371 kB/s
35.230.79.26,443,34.82.144.89,US,Seattle,隧道,28 ms,928 Mbps,118784 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,56 ms,719 Mbps,92057 kB/s
34.82.76.253,443,34.168.34.122,US,Seattle,隧道,35 ms,920 Mbps,117760 kB/s
