中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.56.101,443,2a0b:21c0:1007:c9:0:bbdd:4bc6:dd2c,DE,Frankfurt,隧道,90 ms,156 Mbps,20070 kB/s
144.21.53.48,443,2a0b:21c0:100a:1b1:0:71a5:9b48:481b,DE,Frankfurt,隧道,120 ms,126 Mbps,16179 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,37 ms,64 Mbps,8221 kB/s
152.70.62.5,443,2a0b:21c0:100a:1b4:0:64c9:ba91:213c,DE,Frankfurt,隧道,90 ms,98 Mbps,12595 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,73 ms,48 Mbps,6191 kB/s
143.47.183.163,443,2a0b:21c0:100a:1b2:0:6a80:c85c:d8c1,DE,Frankfurt,隧道,91 ms,116 Mbps,14848 kB/s
152.70.187.211,443,2a0b:21c0:1007:1cb:0:9e22:5e7:f17a,DE,Frankfurt,隧道,92 ms,158 Mbps,20275 kB/s
144.21.38.69,443,2a0b:21c0:1007:1c7:0:c44c:8750:1a46,DE,Frankfurt,隧道,90 ms,152 Mbps,19558 kB/s
152.70.172.11,443,2a0b:21c0:100a:1b6:0:2540:e48d:68b1,DE,Frankfurt,隧道,92 ms,126 Mbps,16179 kB/s
141.147.97.37,443,141.147.97.37,GB,London,中转,80 ms,259 Mbps,33177 kB/s
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,170 ms,201 Mbps,25804 kB/s
144.24.179.232,443,2a0b:21c0:1007:ca:0:22b0:bbd4:c3b9,DE,Frankfurt,隧道,90 ms,124 Mbps,15872 kB/s
152.67.131.161,443,2a0b:21c0:1007:1c8:0:6aec:6396:e3e4,DE,Frankfurt,隧道,98 ms,186 Mbps,23859 kB/s
130.162.45.226,443,2a0b:21c0:100a:1fa:0:63aa:cee2:f966,DE,Frankfurt,隧道,139 ms,112 Mbps,14438 kB/s
141.147.60.0,443,2a0b:21c0:1007:1cb:0:925b:248b:a74c,DE,Frankfurt,隧道,101 ms,236 Mbps,30208 kB/s
152.67.44.30,443,152.67.44.30,BR,Rio de Janeiro,中转,116 ms,49 Mbps,6315 kB/s
132.145.245.213,443,163.123.193.4,DE,Frankfurt,隧道,90 ms,234 Mbps,30003 kB/s
141.148.245.17,443,2a0b:21c0:1007:cb:0:5f4:602c:b958,DE,Frankfurt,隧道,90 ms,150 Mbps,19251 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,80 ms,47 Mbps,6090 kB/s
144.21.39.72,443,2a0b:21c0:1007:1c7:0:82b6:f5b6:f949,DE,Frankfurt,隧道,166 ms,138 Mbps,17715 kB/s
132.226.193.155,443,2a0b:21c0:100a:1fa:0:e796:f440:77e5,DE,Frankfurt,隧道,91 ms,132 Mbps,16998 kB/s
141.148.231.198,443,2a0b:21c0:1007:1c7:0:5cb9:73d6:10e6,DE,Frankfurt,隧道,90 ms,160 Mbps,20582 kB/s
141.147.65.161,443,2a0b:21c0:100a:1b1:0:19ca:fe12:5a97,DE,Frankfurt,隧道,115 ms,118 Mbps,15155 kB/s
152.70.60.24,443,2a0b:21c0:100a:1b7:0:cfc:bd27:8156,DE,Frankfurt,隧道,90 ms,124 Mbps,15872 kB/s
144.24.172.224,443,2a0b:21c0:1007:1cb:0:40f3:d409:291d,DE,Frankfurt,隧道,94 ms,189 Mbps,24268 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,84 ms,48 Mbps,6174 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,250 ms,103 Mbps,13209 kB/s
130.162.186.42,443,2a0b:21c0:100a:1b0:0:e5b8:e7cb:2dc8,DE,Frankfurt,隧道,97 ms,109 Mbps,14028 kB/s
152.67.142.70,443,2a0b:21c0:1007:c7:0:9156:17b:c832,DE,Frankfurt,隧道,105 ms,164 Mbps,20992 kB/s
141.148.238.240,443,2a0b:21c0:1007:c8:0:4d31:d4b5:3f17,DE,Frankfurt,隧道,90 ms,148 Mbps,18944 kB/s
138.2.143.218,443,2a0b:21c0:1007:1ca:0:bb6d:8e37:290,DE,Frankfurt,隧道,94 ms,156 Mbps,19968 kB/s
143.47.184.235,443,2a0b:21c0:100a:1b0:0:4bc7:2fec:495e,DE,Frankfurt,隧道,105 ms,114 Mbps,14643 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,121 ms,0 Mbps,57 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,201 ms,18 Mbps,2360 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,113 ms,114 Mbps,14643 kB/s
130.162.182.144,443,98.98.156.18,AE,Frankfurt,隧道,102 ms,133 Mbps,17100 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,113 ms,133 Mbps,17100 kB/s
130.162.225.20,443,2a0b:21c0:100a:1b0:0:ab5f:1084:789e,DE,Frankfurt,隧道,96 ms,141 Mbps,18124 kB/s
129.159.201.168,443,2a0b:21c0:1007:c9:0:4084:7396:6b28,DE,Frankfurt,隧道,93 ms,220 Mbps,28160 kB/s
150.230.119.84,443,2606:f240:f00:46c4:0:a707:ba58:d5,US,Frankfurt,隧道,92 ms,128 Mbps,16384 kB/s
132.145.255.241,443,2a0b:21c0:1007:c7:0:adbc:ae6:6d3b,DE,Frankfurt,隧道,90 ms,156 Mbps,19968 kB/s
130.61.135.192,443,2a0b:21c0:1007:1cb:0:e53a:1df0:da6e,DE,Frankfurt,隧道,215 ms,203 Mbps,26009 kB/s
146.56.44.85,443,146.56.44.85,KR,Tokyo,中转,183 ms,35 Mbps,4548 kB/s
152.67.149.16,443,2606:f240:f00:6acf:0:357b:8e27:9ed1,US,Frankfurt,隧道,101 ms,136 Mbps,17510 kB/s
143.47.240.66,443,98.98.156.30,AE,Frankfurt,隧道,109 ms,127 Mbps,16281 kB/s
129.159.206.55,443,2606:f240:f00:b2ed:0:a532:7f8d:e926,US,Frankfurt,隧道,91 ms,204 Mbps,26112 kB/s
141.147.82.183,443,2a0b:21c0:1007:c7:0:b1aa:1b89:da64,DE,Frankfurt,隧道,93 ms,138 Mbps,17715 kB/s
141.144.201.191,443,98.98.166.190,AE,Frankfurt,隧道,113 ms,240 Mbps,30720 kB/s
141.147.85.60,443,2a0b:21c0:100a:1b1:0:889f:949f:e34,DE,Frankfurt,隧道,98 ms,104 Mbps,13312 kB/s
132.226.210.122,443,2606:f240:f00:46c4:0:b4a3:d307:6453,US,Frankfurt,隧道,97 ms,116 Mbps,14848 kB/s
129.159.240.11,443,2a0b:21c0:100a:1b5:0:5212:4d2e:3d5e,DE,Frankfurt,隧道,107 ms,121 Mbps,15564 kB/s
193.123.58.138,443,2a0b:21c0:100a:1b3:0:8bb1:59de:b619,DE,Frankfurt,隧道,93 ms,132 Mbps,16896 kB/s
144.24.174.77,443,2a0b:21c0:100a:1f9:0:8460:9a9e:18b5,DE,Frankfurt,隧道,91 ms,130 Mbps,16691 kB/s
141.147.13.144,443,2606:f240:f00:5a42:0:dd94:aa41:787d,US,Frankfurt,隧道,90 ms,200 Mbps,25600 kB/s
193.123.60.11,443,2a0b:21c0:1007:1cb:0:434d:80f3:bc46,DE,Frankfurt,隧道,92 ms,183 Mbps,23449 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,225 ms,63 Mbps,8175 kB/s
158.180.68.56,443,158.180.68.56,KR,Seoul,中转,181 ms,80 Mbps,10342 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,185 ms,43 Mbps,5576 kB/s
8.218.204.128,443,8.218.204.128,HK,Hong Kong,中转,207 ms,57 Mbps,7333 kB/s
141.148.242.236,443,2606:f240:f00:5a42:0:6b8e:782b:fa8a,US,Frankfurt,隧道,90 ms,181 Mbps,23244 kB/s
143.47.181.195,443,2606:f240:f00:eaf1:0:63e:c1c3:5390,US,Frankfurt,隧道,125 ms,112 Mbps,14336 kB/s
193.122.61.180,443,2606:f240:f00:a683:0:98e:3c45:16cd,US,Frankfurt,隧道,97 ms,193 Mbps,24780 kB/s
131.186.28.224,443,2602:ffe4:407:20d9:0:8757:a2c9:94ae,SG,Singapore,隧道,239 ms,52 Mbps,6722 kB/s
150.230.195.145,443,2602:ffe4:407:20da:0:e38d:b3b2:5502,SG,Singapore,隧道,235 ms,53 Mbps,6836 kB/s
143.47.233.92,443,2606:f240:f00:eaf1:0:73d3:7676:bb97,US,Frankfurt,隧道,98 ms,101 Mbps,13004 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,229 ms,65 Mbps,8412 kB/s
141.148.224.233,443,2606:f240:f00:2be4:0:f449:62f7:719,US,Frankfurt,隧道,90 ms,192 Mbps,24678 kB/s
130.162.169.76,443,2606:f240:f00:2be4:0:c99b:e2ca:14ad,US,Frankfurt,隧道,91 ms,220 Mbps,28262 kB/s
138.2.99.97,443,138.2.99.97,SG,Singapore,中转,225 ms,68 Mbps,8765 kB/s
64.110.74.245,443,128.14.104.155,US,Singapore,隧道,233 ms,65 Mbps,8336 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,219 ms,66 Mbps,8514 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,218 ms,67 Mbps,8588 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,222 ms,67 Mbps,8653 kB/s
152.70.248.96,443,2a09:bac5:4750:1a14::299:2f,KR,Seoul,隧道,179 ms,3 Mbps,462 kB/s
8.210.21.65,443,8.210.21.65,HK,Hong Kong,中转,204 ms,63 Mbps,8151 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,227 ms,61 Mbps,7919 kB/s
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,181 ms,29 Mbps,3819 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,225 ms,66 Mbps,8453 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,223 ms,58 Mbps,7519 kB/s
141.147.117.107,443,2606:f240:f00:6acf:0:518b:e5ee:7939,US,Frankfurt,隧道,130 ms,199 Mbps,25497 kB/s
152.70.240.67,443,2602:ffe4:407:20d9:0:4653:7bd2:8d8d,SG,Singapore,隧道,244 ms,53 Mbps,6903 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,185 ms,84 Mbps,10752 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,227 ms,68 Mbps,8746 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,230 ms,66 Mbps,8540 kB/s
8.210.118.122,443,8.210.118.122,HK,Hong Kong,中转,201 ms,85 Mbps,10956 kB/s
8.219.164.237,443,8.219.164.237,SG,Singapore,中转,218 ms,70 Mbps,8966 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,227 ms,73 Mbps,9449 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,224 ms,33 Mbps,4267 kB/s
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,222 ms,65 Mbps,8397 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,204 ms,5 Mbps,743 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,222 ms,61 Mbps,7914 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,372 ms,40 Mbps,5236 kB/s
47.57.14.118,443,47.88.1.156,US,San Jose,隧道,207 ms,1 Mbps,155 kB/s
192.9.250.241,443,192.9.250.241,US,,中转,73 ms,7 Mbps,988 kB/s
152.67.149.169,443,2606:f240:f00:a683:0:267b:6dde:f1b7,US,Frankfurt,隧道,95 ms,168 Mbps,21606 kB/s
158.101.211.115,443,2a0b:21c0:100a:1b2:0:63ba:6261:98e1,DE,Frankfurt,隧道,90 ms,121 Mbps,15564 kB/s
193.123.34.216,443,2606:f240:f00:2be4:0:384:c0e1:5882,US,Frankfurt,隧道,90 ms,168 Mbps,21606 kB/s
