中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.138.241,443,192.9.138.241,US,San Jose,中转,55 ms,1416 Mbps,181248 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,154 ms,101 Mbps,13004 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,38 ms,352 Mbps,45056 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,308 Mbps,39526 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,360 Mbps,46080 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,9 ms,702 Mbps,89907 kB/s
35.197.23.75,443,34.19.22.183,US,Seattle,隧道,90 ms,840 Mbps,107520 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,208 Mbps,26624 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,10 ms,1496 Mbps,191488 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,51 ms,1600 Mbps,204800 kB/s
35.230.79.26,443,34.19.22.183,US,Seattle,隧道,37 ms,872 Mbps,111616 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,152 ms,46 Mbps,5956 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,29 ms,521 Mbps,66764 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,19 ms,96 Mbps,12390 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,37 ms,572 Mbps,73216 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,95 ms,1464 Mbps,187392 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,191 ms,73 Mbps,9398 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,165 ms,115 Mbps,14745 kB/s
34.82.76.253,443,34.168.30.215,US,Seattle,隧道,112 ms,824 Mbps,105472 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,152 ms,142 Mbps,18227 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,145 ms,492 Mbps,62976 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,686 Mbps,87859 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,76 ms,261 Mbps,33484 kB/s
152.70.117.136,443,152.70.117.136,US,San Jose,中转,26 ms,432 Mbps,55296 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,135 ms,122 Mbps,15667 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,98 Mbps,12595 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,147 ms,47 Mbps,6128 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,104 ms,20 Mbps,2666 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,113 Mbps,14540 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,195 ms,90 Mbps,11571 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,172 ms,92 Mbps,11776 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,93 ms,299 Mbps,38297 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,63 ms,346 Mbps,44339 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,20 ms,753 Mbps,96460 kB/s
47.253.86.6,443,47.253.86.6,US,Ashburn,中转,77 ms,199 Mbps,25497 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,106 Mbps,13619 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,173 ms,3 Mbps,410 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,176 ms,66 Mbps,8554 kB/s
138.2.167.11,443,2a0b:21c0:100a:1f9:0:be62:9e42:76b0,DE,Frankfurt,隧道,206 ms,101 Mbps,13004 kB/s
141.147.178.154,443,141.147.178.154,JP,Tokyo,中转,157 ms,40 Mbps,5128 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,141 ms,115 Mbps,14745 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,155 ms,38 Mbps,4924 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,172 ms,75 Mbps,9699 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,148 ms,40 Mbps,5196 kB/s
144.24.188.63,443,98.98.156.22,AE,Frankfurt,隧道,153 ms,105 Mbps,13516 kB/s
141.147.65.142,443,2a0b:21c0:1007:1c8:0:6429:b0d8:49c0,DE,Frankfurt,隧道,160 ms,100 Mbps,12902 kB/s
141.147.116.113,443,98.98.166.178,AE,Frankfurt,隧道,154 ms,124 Mbps,15974 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,171 ms,97 Mbps,12492 kB/s
143.47.234.165,443,163.123.193.23,DE,Frankfurt,隧道,152 ms,63 Mbps,8118 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,171 ms,118 Mbps,15155 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,159 ms,116 Mbps,14950 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,61 ms,306 Mbps,39219 kB/s
204.110.220.3,443,204.110.220.175,US,,隧道,34 ms,589 Mbps,75468 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,171 ms,84 Mbps,10752 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,26 ms,552 Mbps,70656 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,21 ms,532 Mbps,68198 kB/s
141.144.228.118,443,163.123.193.24,DE,Amsterdam,隧道,155 ms,57 Mbps,7378 kB/s
132.226.196.107,443,2a0b:21c0:1007:1c8:0:406f:bfd8:53c0,DE,Frankfurt,隧道,155 ms,112 Mbps,14438 kB/s
138.3.245.151,443,98.98.166.194,AE,Frankfurt,隧道,153 ms,110 Mbps,14131 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,162 ms,2 Mbps,374 kB/s
8.219.54.203,443,8.219.54.203,SG,Singapore,中转,170 ms,70 Mbps,9051 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,179 ms,62 Mbps,8024 kB/s
138.2.72.153,443,138.2.72.153,SG,Singapore,中转,185 ms,53 Mbps,6863 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,153 ms,101 Mbps,13004 kB/s
158.101.202.193,443,2a0b:21c0:1007:1ca:0:f2f1:6217:ae11,DE,Frankfurt,隧道,158 ms,103 Mbps,13209 kB/s
143.47.241.208,443,2a0b:21c0:100a:1b7:0:a5f6:4621:cf46,DE,Frankfurt,隧道,155 ms,88 Mbps,11366 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,39 Mbps,5068 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,188 ms,87 Mbps,11161 kB/s
130.162.178.32,443,98.98.166.58,AE,Frankfurt,隧道,166 ms,125 Mbps,16076 kB/s
150.230.117.214,443,2a0b:21c0:100a:1b6:0:8bb4:abe2:19ae,DE,Düsseldorf,隧道,155 ms,101 Mbps,13004 kB/s
131.186.28.161,443,2602:ffe4:407:20d9:0:36f5:3284:6efe,SG,Singapore,隧道,187 ms,89 Mbps,11468 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,145 ms,134 Mbps,17203 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,54 ms,398 Mbps,50995 kB/s
141.148.242.173,443,2606:f240:f00:6acf:0:9fcb:15c5:1e1b,US,Frankfurt,隧道,159 ms,112 Mbps,14336 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,152 ms,31 Mbps,4005 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,70 ms,21 Mbps,2726 kB/s
103.137.63.3,443,61.224.83.242,TW,,隧道,152 ms,120 Mbps,15360 kB/s
35.183.163.195,443,35.182.213.54,CA,,隧道,74 ms,243 Mbps,31129 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,173 ms,71 Mbps,9196 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,111 Mbps,14233 kB/s
54.203.85.46,443,204.110.220.240,US,,隧道,84 ms,485 Mbps,62156 kB/s
