中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,53 ms,992 Mbps,126976 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,397 Mbps,50892 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,63 ms,359 Mbps,45977 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,64 ms,317 Mbps,40652 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,22 ms,571 Mbps,73113 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,104 ms,472 Mbps,60518 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,84 ms,88 Mbps,11264 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,21 ms,1024 Mbps,131072 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,17 ms,1072 Mbps,137216 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,120 ms,1 Mbps,219 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,500 Mbps,64102 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,18 ms,720 Mbps,92262 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,54 ms,675 Mbps,86425 kB/s
35.230.79.26,443,35.233.204.31,US,Seattle,隧道,35 ms,567 Mbps,72601 kB/s
35.197.23.75,443,35.233.204.31,US,Seattle,隧道,50 ms,553 Mbps,70860 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,64 ms,313 Mbps,40140 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,56 ms,350 Mbps,44851 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,37 ms,1160 Mbps,148480 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,54 ms,650 Mbps,83251 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,55 ms,300 Mbps,38502 kB/s
198.46.188.190,443,2a09:bac5:a5fa:7cd::c7:c,US,Buffalo,隧道,82 ms,81 Mbps,10444 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,42 ms,623 Mbps,79769 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,180 Mbps,23142 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,149 ms,113 Mbps,14540 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,18 ms,1000 Mbps,128000 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,57 ms,362 Mbps,46387 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,143 ms,106 Mbps,13619 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,67 ms,21 Mbps,2690 kB/s
